Date : 2022-07-07 17:45:01
Directory : c:\Users\ziyad\OneDrive\Desktop\Projects\side\fluttermatic_desktop\lib
Total : 218 files,  27428 codes, 2108 comments, 3206 blanks, all 32742 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        218 |     27,428 |      2,108 |      3,206 |     32,742 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                   |        218 |     27,428 |      2,108 |      3,206 |     32,742 |
| app                                                                                                                                                 |          3 |        161 |         57 |         49 |        267 |
| components                                                                                                                                          |         64 |      8,457 |        404 |        864 |      9,725 |
| components\dialog_templates                                                                                                                         |         41 |      6,819 |        308 |        691 |      7,818 |
| components\dialog_templates\about                                                                                                                   |          5 |        418 |         23 |         57 |        498 |
| components\dialog_templates\about\sections                                                                                                          |          4 |        387 |         21 |         53 |        461 |
| components\dialog_templates\flutter                                                                                                                 |          4 |        631 |         29 |         80 |        740 |
| components\dialog_templates\fun                                                                                                                     |          2 |        605 |         20 |         30 |        655 |
| components\dialog_templates\logs                                                                                                                    |          2 |        326 |         21 |         52 |        399 |
| components\dialog_templates\other                                                                                                                   |          5 |        674 |         27 |         81 |        782 |
| components\dialog_templates\project                                                                                                                 |         14 |      3,075 |        162 |        323 |      3,560 |
| components\dialog_templates\project\create                                                                                                          |         11 |      2,410 |        103 |        239 |      2,752 |
| components\dialog_templates\project\create\common                                                                                                   |          2 |        600 |         20 |         65 |        685 |
| components\dialog_templates\project\create\dart                                                                                                     |          2 |        313 |         18 |         49 |        380 |
| components\dialog_templates\project\create\dart\sections                                                                                            |          1 |         53 |          2 |          9 |         64 |
| components\dialog_templates\project\create\flutter                                                                                                  |          5 |      1,409 |         62 |        117 |      1,588 |
| components\dialog_templates\project\create\flutter\sections                                                                                         |          4 |        952 |         33 |         66 |      1,051 |
| components\dialog_templates\settings                                                                                                                |          8 |      1,028 |         24 |         63 |      1,115 |
| components\dialog_templates\settings\sections                                                                                                       |          7 |        960 |         22 |         56 |      1,038 |
| components\widgets                                                                                                                                  |         23 |      1,638 |         96 |        173 |      1,907 |
| components\widgets\buttons                                                                                                                          |          5 |        346 |         14 |         38 |        398 |
| components\widgets\inputs                                                                                                                           |          2 |        139 |          4 |         11 |        154 |
| components\widgets\ui                                                                                                                               |         16 |      1,153 |         78 |        124 |      1,355 |
| core                                                                                                                                                |         47 |      2,633 |        616 |        618 |      3,867 |
| core\models                                                                                                                                         |          6 |         67 |          2 |         18 |         87 |
| core\notifiers                                                                                                                                      |         39 |      2,161 |        590 |        537 |      3,288 |
| core\notifiers\models                                                                                                                               |         20 |        390 |         65 |         94 |        549 |
| core\notifiers\models\payloads                                                                                                                      |          3 |         72 |          4 |          8 |         84 |
| core\notifiers\models\payloads\actions                                                                                                              |          2 |         58 |          4 |          6 |         68 |
| core\notifiers\models\payloads\general                                                                                                              |          1 |         14 |          0 |          2 |         16 |
| core\notifiers\models\state                                                                                                                         |         17 |        318 |         61 |         86 |        465 |
| core\notifiers\models\state\actions                                                                                                                 |          2 |         28 |          0 |          8 |         36 |
| core\notifiers\models\state\api                                                                                                                     |          3 |         57 |          0 |         15 |         72 |
| core\notifiers\models\state\checks                                                                                                                  |          7 |        135 |         61 |         41 |        237 |
| core\notifiers\models\state\general                                                                                                                 |          5 |         98 |          0 |         22 |        120 |
| core\notifiers\notifiers                                                                                                                            |         18 |      1,707 |        522 |        428 |      2,657 |
